,证券代码,证券名称,major,行业名称,收入,成本,利润,利润率
300436.SZ,300436,广生堂,100.0,医药行业,308918924.52,37633083.09,271285841.43,87.8178123439752
600106.SH,600106,重庆路桥,96.64,路桥行业,309565300.0,36419900.0,273145400.0,88.23514780241842
002581.SZ,002581,未名医药,89.15,制药业务分部,765178887.04,88224244.35,676954642.69,88.47011517904205
300059.SZ,300059,东方财富,99.96,信息技术服务业,2811505485.68,323807083.42,2487698402.26,88.48278671091825
600358.SH,600358,国旅联合,92.85,旅游饮食服务业,82008663.95,9030535.85,72978128.1,88.9883148742603
002773.SZ,002773,康弘药业,99.95,医药制造业,2073360051.91,224812902.01,1848547149.9,89.15707371698899
600594.SH,600594,益佰制药,83.78,处方药(行业),2766831976.13,275229859.77,2491602116.36,90.05252714496356
600485.SH,600485,信威集团,91.84,境外公网行业,3282399300.0,290732400.0,2991666900.0,91.14268638797236
600519.SH,600519,贵州茅台,99.98,白酒,32654046822.87,2534281879.93,30119764942.94,92.2389960004741
600754.SH,600754,锦江股份,95.21,经济型酒店营运及管理业务,5296364409.48,367537196.83,4928827212.65,93.06057573810173
300204.SZ,300204,舒泰神,100.0,产品销售,1247891830.18,67729137.28,1180162692.9,94.5725153701639
300295.SZ,300295,三六五网,97.28,线上网络营销服务,624033627.96,33347139.36,590686488.6,94.65619513662851
300357.SZ,300357,我武生物,100.0,医药制造,267105585.86,13104036.94,254001548.92,95.09406106285313
002410.SZ,002410,广联达,99.95,软件行业,1535095798.69,61828779.1,1473267019.59,95.97231787405303
000613.SZ,000613,大东海A,100.0,旅游饮食服务业,15885922.9,626661.16,15259261.74,96.05524234289214
